file_name,transcription,utterance_id
data\segment_1.wav," Morning, brother Nasima, online. Good morning, people. Brother Nasima is joining us online. Yes.",7kzfy51i85
data\segment_8503.wav," And your then the proposed amendments also you have referred to. Sure, it contained one is a letter from the Ministry which contained the detailed, yes, set of amendments and along with it the approved draft language, but that's only for placing the matter before lodge. But a few more things that came to mind yesterday. The amendments that are proposed is to categorize the transport and the non transport category within the bracket of LMB license, light motor vehicle. So in national insurance company.",paowicfwuy
data\segment_8504.wav," Category of vehicle and type of vehicle said it does not make a difference. That's why the endorsement was not required there. So I thought we should take care of that question. A few more things I think. We know that election is on, but you see we have indicated that we'd like to see the light of whatever the proposed event. Any timeline in your after the election. It's it's like the consultation process almost over. It has to go to a.",pstjnet6i8
data\segment_8505.wav, Cabinet Committee and all that. Then I think it will be true.,znf7lqcut3
data\segment_8506.wav," And that after I got there, I had a few more suggestions, I thought I'll share it to the ministry. For the purposes of this case, Milord, it may not make any difference because as your Lordship had seen, if I'm right in Milord, what I had contended last time that section three that proviso says that provided if you want to drive a transport vehicle, your license must specifically authorize you to do so. Therefore, the license should have had an endorsement that it that your LMV license.",pquk9g6ocp
data\segment_8507.wav," You are authorized to drive a transport vehicle also. Tom Lott, they have made this only clearer, but they have not changed it. They have not said that you don't need an endorsement. Then on the other hand, once the amendment will come, we will see what is the impact of this possibly. Just have a few both. I looked into it. I'm alive to that. Just have a look at the proposed section ten.",540vicy90n
data\segment_8508.wav," Just have a look at the proposed section ten, Melod.",xhlcltfbrj
data\segment_8509.wav," That's on the second page of that proposed amendment. Yes. Starts on the second page and if your lordship has ten, two, which is on the third page. A learners license. Does your lordship have that or not?",fen74d3wa9
data\segment_8510.wav," Yes, a learner's license or a driving license as the case may be shall also be expressed as entitling the holder to drive a motor vehicle specified as transport vehicle or non transport vehicle with manual gear selection or automatic gear selection as the case may be of one or more of the following classes namely and C is light motor vehicle category one. So what they've done is.",6ft1hiewu0
data\segment_8511.wav," They've divided light powder vehicle, which was up to seven thousand kilos, into two categories LMV one and LMV two. That's right. But they have also made it clearer than before. Earlier, my lord, one had to look at three proviso, et cetera. Now they've made it very clear that your license will indicate whether it's to drive a transport vehicle or a non transport vehicle. So therefore,.",urd9ve4tkm
data\segment_8512.wav," The same position as was there earlier, they only making it clearer. So therefore, not the high amble submission need not await. In ten one is in ten one every learner say so and so shall be in such form, shall contain such information, endorse in such manner, prescribe your so and so. Therefore, the rules will certainly take care of all of that.",r7hi03ojxm
data\segment_2.wav," Morning, tell me good morning, good morning.",jhilubeig0
data\segment_8513.wav," What we'll do is let them, since they are now proposing to bring about an amendment to the MV Act, let them go ahead with this process. And what we could do is we'll keep it because, you know, the otherwise if we deliver judgment before the amendment, then what is the impact of the amendment on the judgment of the Constitution Bench will again be a moot question. So that we can have the amendment. See what if you are right that the amendment in fact makes things the position which you are espousing clearer. Yes.",95f2igzdly
data\segment_8514.wav," Then so much the better, then we can always say that. We can deal with the amendment which has been brought forward by that or not. The only issue is how long they'll take because since your lordship had heard this matter substantially, therefore I'm not, take it in say the second week of July. No, I think the sessions may be only after, let it be in the last week of July. Little, a little time to put three because I know what kind of agendas the Parliament will have immediately, many pending agendas are there. I won't be able to say anything now.",hzruubhhud
data\segment_8515.wav," That's what we should have. If I missed this one more. Sure, attention, one more thing. Yes, Parliament brings about the amendment. You'll also have to see what happens to those people who held licenses in the park. We don't require a significant clause. I've asked the minister to take care of that so that we provide for a transition and that there's no gap in the aspiral's. Exactly, there are actually some provisions for a transition.",xsec9kx44w
data\segment_8516.wav," There are certain things Malaks we want to propose. Can we also be consulted? Because while the consultations They can all give whatever you want to the ministry, the consultation process is coming, but that you can always give what you want, please. Malaks, so just one thing from my lord during the hearing was, Malaks won't be changing anything retrospectively because Malaks are pending, everyone has got compensation. That would be prospective.",0bpmuvw15w
